is_switch,is_open,is_fuse,kva,kvar,kvs,length (km),ampacity,peak_voltage,phases,rated_kv,max_kw,max_kvar,is_ct,type,name,marker-color,marker-size
,,,,,,,,0.988213007553649,,,,,,Node,p30udm11921,"000000",small
,,,,,,,,0.984377618770804,,,,,,Node,p30udm11922,"000000",small
,,,,,,,,0.987887940214897,,,,,,Node,p30udm11923,"000000",small
,,,,,,,,0.984997620004434,,,,,,Node,p30udm11924,"000000",small
,,,,,,,,0.984823080185158,,,,,,Node,p30udm12668,"000000",small
,,,,,,,,0.988041213977861,,,,,,Node,p30udm12669,"000000",small
,,,,,,,,0.995411807836569,,,,,,Node,p30udm12672,"000000",small
,,,,,,,,0.995902689716778,,,,,,Node,p30udm12673,"000000",small
,,,,,,,,0.984665380516598,,,,,,Node,p30udm12677,"000000",small
,,,,,,,,0.985738253917207,,,,,,Node,p30udm12679,"000000",small
,,,,,,,,0.99510265777833,,,,,,Node,p30udm26996,"000000",small
,,,,,,,,0.994184899570854,,,,,,Node,p30udm26999,"000000",small
,,,,,,,,0.990609685945325,,,,,,Node,p30udm27000,"000000",small
,,,,,,,,0.992218300110866,,,,,,Node,p30udm27001,"000000",small
,,,,,,,,0.990843213719489,,,,,,Node,p30udm27003,"000000",small
,,,,,,,,0.999751575027126,,,,,,Node,p30udt2672,"000000",small
,,,,,,,,0.992809853198787,,,,,,Node,p30udt2672lv,"000000",small
,,,,,,,,1.00074006821572,,,,,,Node,p30udt2673,"000000",small
,,,,,,,,0.990441049854586,,,,,,Node,p30udt2673lv,"000000",small
,,,,,,,,0.999034154025534,,,,,,Node,p30udt2794,"000000",small
,,,,,,,,0.99224095465533,,,,,,Node,p30udt2794lv,"000000",small
,,,,,,,,0.999541960001938,,,,,,Node,p30udt2795,"000000",small
,,,,,,,,0.99682207719433,,,,,,Node,p30udt2795lv,"000000",small
,,,,,,,,1.00024073532925,,,,,,Node,p30udt2796,"000000",small
,,,,,,,,0.997290742419978,,,,,,Node,p30udt2796lv,"000000",small
,,,,,,,,0.999525881066276,,,,,,Node,p30udt2799,"000000",small
,,,,,,,,0.991528134906394,,,,,,Node,p30udt2799lv,"000000",small
,,,,,,,,0.999803841893972,,,,,,Node,p30udt2800,"000000",small
,,,,,,,,0.987994081906218,,,,,,Node,p30udt2800lv,"000000",small
,,,,,,,,1.00005611562673,,,,,,Node,p30udt2801,"000000",small
,,,,,,,,0.995994817378501,,,,,,Node,p30udt2801lv,"000000",small
,,,,,,,,1.00061066923597,,,,,,Node,p30udt2802,"000000",small
