is_switch,is_open,is_fuse,kva,kvar,kvs,length (km),ampacity,peak_voltage,phases,rated_kv,max_kw,max_kvar,is_ct,type,name,marker-color,marker-size
,,,,,,,,0.995199284168462,,,,,,Node,p30udm6389,"000000",small
,,,,,,,,0.996758933770971,,,,,,Node,p30udm6390,"000000",small
,,,,,,,,0.999239534408116,,,,,,Node,p30udm6393,"000000",small
,,,,,,,,0.983403583920807,,,,,,Node,p30udm6418,"000000",small
,,,,,,,,0.981275571173384,,,,,,Node,p30udm6419,"000000",small
,,,,,,,,0.97978681330746,,,,,,Node,p30udm6420,"000000",small
,,,,,,,,0.996767042897332,,,,,,Node,p30udm6421,"000000",small
,,,,,,,,0.994661101175003,,,,,,Node,p30udm6422,"000000",small
,,,,,,,,0.995071922159911,,,,,,Node,p30udm6423,"000000",small
,,,,,,,,0.997018422612409,,,,,,Node,p30udm6424,"000000",small
,,,,,,,,0.992800645469369,,,,,,Node,p30udm6518,"000000",small
,,,,,,,,0.991458247137842,,,,,,Node,p30udm6520,"000000",small
,,,,,,,,0.991581982474236,,,,,,Node,p30udm6527,"000000",small
,,,,,,,,0.991850473566676,,,,,,Node,p30udm6528,"000000",small
,,,,,,,,0.990090083173753,,,,,,Node,p30udm6529,"000000",small
,,,,,,,,0.967607506802313,,,,,,Node,p30udm6532,"000000",small
,,,,,,,,0.980857932590732,,,,,,Node,p30udm6534,"000000",small
,,,,,,,,0.989732229116437,,,,,,Node,p30udm16140,"000000",small
,,,,,,,,0.986489899421343,,,,,,Node,p30udm16144,"000000",small
,,,,,,,,0.983306046675196,,,,,,Node,p30udm16148,"000000",small
,,,,,,,,0.990514415454304,,,,,,Node,p30udm17163,"000000",small
,,,,,,,,0.991423305655741,,,,,,Node,p30udm17166,"000000",small
,,,,,,,,0.992738830507984,,,,,,Node,p30udm17173,"000000",small
,,,,,,,,0.992486601564156,,,,,,Node,p30udm17177,"000000",small
,,,,,,,,0.994237393542923,,,,,,Node,p30udm20326,"000000",small
,,,,,,,,0.991956529072739,,,,,,Node,p30udm20327,"000000",small
,,,,,,,,0.993425504021736,,,,,,Node,p30udm20330,"000000",small
,,,,,,,,0.992245613566288,,,,,,Node,p30udm20332,"000000",small
,,,,,,,,0.997164891124307,,,,,,Node,p30udm20334,"000000",small
